@RELATION TELEFONCULAR
@ATTRIBUTE Ekran_Boyutu_inc REAL
@ATTRIBUTE Hafiza_GB REAL	
@ATTRIBUTE Ram_GB REAL
@ATTRIBUTE Batarya_mAh INTEGER
@ATTRIBUTE Hat_Sayisi INTEGER
@ATTRIBUTE Hizli_Sarj INTEGER
@ATTRIBUTE 4_5G REAL
@ATTRIBUTE 5G REAL
@ATTRIBUTE CPU_cekirdek REAL
@ATTRIBUTE SAR_W/kg REAL
@ATTRIBUTE Ekran_orani REAL
@ATTRIBUTE Degisir_Batarya INTEGER
@ATTRIBUTE Kamera_cozunurlugu_MP REAL
@ATTRIBUTE Ekran_Cozunurlugu REAL
@ATTRIBUTE Parmak_Izi_Okuyucu REAL
@ATTRIBUTE Okuyucu REAL
@ATTRIBUTE Class {1,2,3,4,5}

@Data
4.3,4,1,1800,1,0,0,0,4,0.72,59.69,1,8,4,0,0,1
4.3,8,1,1750,1,0,0,0,2,0.69,60.91,1,8,5,0,0,1
4.3,8,1,1800,1,0,0,0,2,0.61,61.46,1,5,4,0,0,1
4.3,8,1,1900,1,0,1,0,4,0.679,59.84,1,5,4,0,0,1
4.3,4,1,1670,1,0,0,0,2,1.03,61.74,0,8,5,0,0,1
4.3,8,0.5,2000,1,0,0,0,2,0.76,60.96,0,6.7,4,0,0,1
4.3,16,1,1800,1,0,0,0,2,0.897,61.1,0,4,6,0,0,1
4.3,16,1,1800,1,0,0,0,2,0.586,58.16,0,8,6,0,0,1
4.3,16,1,1650,1,0,0,0,2,0.69,59.91,0,8,5,0,0,1
4.3,8,1,1650,1,0,0,0,2,0.79,62.06,1,8,4,0,0,1
4.3,8,1.5,1900,1,0,0,0,2,0.29,66.74,1,8,5,0,0,2
4.3,8,1.5,1900,2,0,0,0,2,0.298,66.74,1,8,5,0,0,2
4.3,32,1,1750,1,0,0,0,2,1.30,62.22,0,12,6,0,0,2
4.3,8,1.5,1900,1,0,0,0,2,0.332,66.74,1,8,5,0,0,2
4.5,4,0.8,1900,2,0,0,0,4,0.670,66.19,1,5,4,0,0,1
4.5,4,0.5,1500,2,0,0,0,2,0.756,62.15,1,5,4,0,0,1
4.5,4,1,1800,1,0,0,0,2,0.8,61.24,1,5,4,0,0,1
4.5,8,1,1700,2,0,0,0,4,0.435,60.37,1,8,5,0,0,1
4.5,4,1,2100,1,0,0,0,2,0.61,67.83,1,5,4,0,0,1
4.5,8,1,2000,1,0,0,0,4,0.389,64.18,1,5,4,0,0,1
4.5,8,0.5,1830,1,0,0,0,4,0.79,64.6,1,5,4,0,0,1
4.5,8,1,1800,2,0,0,0,4,0.383,65.53,1,8,4,0,0,1
4.5,8,1,2000,2,0,1,0,4,0.641,60.61,1,8,4,0,0,1
4.5,4,1,2400,2,0,0,0,4,0.592,62.18,1,13,5,0,0,1
4.5,8,1,2000,2,0,0,0,4,0.76,61.9,1,13,5,0,0,1
4.5,16,1,2070,2,0,0,0,4,0.79,65.21,0,5,6,0,0,1
4.5,16,1,1900,1,0,0,0,4,0.288,65.51,0,8,5,0,0,2
4.5,16,1,1900,2,0,0,0,4,0.288,65.51,0,8,5,0,0,2
4.5,16,1.5,1900,1,0,1,0,4,0.390,65.51,0,8,5,0,0,2
4.5,16,1,2100,1,0,1,0,4,1.46,62.51,0,13,6,0,0,2
4.5,16,1,2000,1,0,0,0,2,0.81,63.29,0,8,7,0,0,2
4.5,32,1,2000,1,0,0,0,2,0.68,62.48,0,8,7,0,0,2
4.5,32,2,2000,1,0,0,0,2,0.76,61.91,0,41,7,0,0,2
4.5,32,3,3450,1,0,1,0,4,0.33,56.52,0,13,8,0,0,2
